"หน่วยบริการ","จำนวนบริการการแพทย์ทางไกลครั้ง"
"11255:โรงพยาบาลวัดโบสถ์","878"
"11252:โรงพยาบาลบางระกำ","484"
"11256:โรงพยาบาลวังทอง","448"
"11253:โรงพยาบาลบางกระทุ่ม","231"
"11254:โรงพยาบาลพรหมพิราม","226"
"11251:โรงพยาบาลชาติตระการ","93"
"11455:โรงพยาบาลสมเด็จพระยุพราชนครไทย","65"
"10676:โรงพยาบาลพุทธชินราช","45"
"11257:โรงพยาบาลเนินมะปราง","29"
"07563:โรงพยาบาลส่งเสริมสุขภาพตำบลวังวน","3"
"07478:โรงพยาบาลส่งเสริมสุขภาพตำบลวัดจันทร์","1"
"07476:โรงพยาบาลส่งเสริมสุขภาพตำบลวังน้ำคู้","0"
"07477:โรงพยาบาลส่งเสริมสุขภาพตำบลงิ้วงาม","0"
"07479:โรงพยาบาลส่งเสริมสุขภาพตำบลวัดพริก","0"
"07480:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเสาหิน","0"
"07481:โรงพยาบาลส่งเสริมสุขภาพตำบลท่าทอง","0"
"07482:โรงพยาบาลส่งเสริมสุขภาพตำบลท่าโพธิ์","0"
"07483:โรงพยาบาลส่งเสริมสุขภาพตำบลสมอแข","0"
"07484:โรงพยาบาลส่งเสริมสุขภาพตำบลดอนทอง","0"
"07485:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านป่า","0"
"07486:โรงพยาบาลส่งเสริมสุขภาพตำบลปากโทก","0"
"07487:โรงพยาบาลส่งเสริมสุขภาพตำบลหัวรอ","0"
"07488:โรงพยาบาลส่งเสริมสุขภาพตำบลจอมทอง","0"
"07489:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านจอมทอง","0"
"07490:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกร่าง","0"
"07491:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลอง","0"
"07492:โรงพยาบาลส่งเสริมสุขภาพตำบลพลายชุมพล","0"
"07493:โรงพยาบาลส่งเสริมสุขภาพตำบลมะขามสูง","0"
"07494:โรงพยาบาลส่งเสริมสุขภาพตำบลอรัญญิก","0"
"07495:โรงพยาบาลส่งเสริมสุขภาพตำบลบึงพระ","0"
"07496:โรงพยาบาลส่งเสริมสุขภาพตำบลไผ่ขอดอน","0"
"07497:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาจาน","0"
"07498:โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกะท้าว","0"
"07499:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบางยางพัฒนา","0"
"07500:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแยง","0"
"07501:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองหิน","0"
